unit_id,recording_id,utterance_index,duration,word_count,baseline_wer,adapted_wer,wer_delta,improved,teacher_selected_wer,teacher_accepted_updates,teacher_skipped_updates,mean_vote_count,mean_vote_fraction
BarrySchwartz_2005G:0041:456.23-462.63,BarrySchwartz_2005G,41,6.399999999999977,12,0.0,0.0,0.0,False,0.16666666666666666,1,2,2.0,0.125
BarrySchwartz_2005G:0042:465.54-476.02,BarrySchwartz_2005G,42,10.479999999999961,32,0.03125,0.03125,0.0,False,,0,3,,
BarrySchwartz_2005G:0043:476.02-489.20,BarrySchwartz_2005G,43,13.180000000000007,27,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0044:489.20-500.62,BarrySchwartz_2005G,44,11.420000000000016,28,0.03571428571428571,0.03571428571428571,0.0,False,,0,3,,
BarrySchwartz_2005G:0045:501.77-511.15,BarrySchwartz_2005G,45,9.379999999999995,25,0.08,0.08,0.0,False,,0,3,,
BarrySchwartz_2005G:0046:511.15-518.94,BarrySchwartz_2005G,46,7.790000000000077,14,0.14285714285714285,0.14285714285714285,0.0,False,,0,3,,
BarrySchwartz_2005G:0047:518.94-540.67,BarrySchwartz_2005G,47,21.729999999999905,58,0.13793103448275862,0.13793103448275862,0.0,False,,0,6,,
BarrySchwartz_2005G:0048:540.67-554.20,BarrySchwartz_2005G,48,13.530000000000086,49,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0049:554.20-568.69,BarrySchwartz_2005G,49,14.490000000000009,42,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0050:574.98-582.53,BarrySchwartz_2005G,50,7.5499999999999545,31,0.03225806451612903,0.03225806451612903,0.0,False,,0,3,,
BarrySchwartz_2005G:0051:582.53-590.16,BarrySchwartz_2005G,51,7.6299999999999955,22,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0052:590.16-600.08,BarrySchwartz_2005G,52,9.920000000000073,30,0.03333333333333333,0.03333333333333333,0.0,False,,0,3,,
